;r;p;K;NSE;RMSE;MARE;Estado
0;0.8591098359660037;0.40298490101291506;359019.79769831995;0.9498507245738751;7.337930314714984;0.11671853250678584;AC
1;0.12233000095275165;0.9725341796875;843768.8063609545;0.9801735382117714;3.710145365990117;0.10206006782633663;AL
2;0.7629228104787176;0.7276951632769573;112025.61474304728;0.9928035917090452;47.98594951850507;0.06972115465486949;AM
3;0.35847604369592007;0.8454084077834424;9018.530052802102;0.973354006419231;20.122327965100194;0.1672411202058018;AP
4;0.4743295078108498;0.734437048169496;676015.5415493972;0.9951117143304065;20.770498759769577;0.061786933609912664;BA
5;0.7271217046688223;0.7928076935379472;32433900.645918377;0.9972050460389039;492.5236784488935;0.054247761070379874;Brazil
6;1.7136085269712567;0.600131843477887;1183343.0800666271;0.9951756718185834;53.65396015924758;0.05408929991162918;CE
7;1.773252334706072;0.4383615372805834;296948.32933850243;0.9877599201062038;27.057545929287784;0.07958838392127318;DF
8;0.18792412203676145;0.9526394874602093;51396.064008521265;0.9888206539203022;21.619409295661086;0.09613827009384844;ES
9;0.3375986684573773;0.7537091254679993;71349.70188209927;0.996290828864305;6.067225032903184;0.043399924845555465;GO
10;0.5644046507498635;0.7792075552400154;3162702.3798723174;0.9961881198543509;14.144468349502809;0.04580504629169574;MA
11;0.9576699269308495;0.5981755244038005;9456837.483318793;0.9950121886835412;22.869300613874003;0.060268667303957676;MG
12;0.9700603829058654;0.38421594553170224;55348.794934982434;0.9946518201061775;2.9667492834551292;0.03994978569434106;MS
13;0.8267337672736315;0.5145505519694759;297532.0191090676;0.9861213540779669;6.434712825000142;0.0813521028301688;MT
14;0.37793598759089964;0.8345423525784436;715997.4417642162;0.9917483530940558;13.206523896468282;0.06993895440372827;PA
15;0.257109480984675;0.8753876163689736;275305.22441843466;0.9931128120652867;4.499913355838926;0.07154910602601403;PB
16;0.387719015639193;0.8367919921875;1524335.9265006655;0.9698051072056137;91.69316489222703;0.179718598852633;PE
17;0.17189501953125;0.87841796875;101460.02873501298;0.9625620160043183;4.902069865022924;0.12425516431143328;PI
18;0.8013117752650047;0.6308055078212105;1435242.6082183206;0.9824198698626778;39.11285104496953;0.1152021727314161;PR
19;0.6359472247125852;0.758375278712444;432806.6330822259;0.9986908407828552;45.29141192294693;0.03205373483217786;RJ
20;0.7521667424618891;0.6018257489103949;257130.13715462247;0.9702947451706175;25.014828630141917;0.1423516856667783;RN
21;0.17189501953125003;0.9702782121344979;362164.32267839543;0.9856993828172931;2.9078560413342887;0.10378605942166748;RO
22;0.3086991480297163;0.7970894589629938;92401.0938454766;0.9826759706196893;5.724444860642106;0.10039855455883602;RR
23;1.587781053424977;0.4863634916302067;457247.2005150188;0.9890117496522176;28.090709743579247;0.07640858893700189;RS
24;1.020750640140574;0.6020645144976453;1524270.7502587377;0.986247388612122;35.046567371029056;0.07959566513841311;SC
25;0.8126868247747562;0.21714133260405566;305184.84988180455;0.9832737171704281;1.984201940146578;0.0692881543216681;SE
26;0.6070542952220066;0.7853918943055296;1871238.737813048;0.9901254298780592;362.38825286344644;0.09725373809425758;SP
27;0.645035006945366;0.18215578717518172;355408.5908854461;0.9826237777361077;1.1793597265338838;0.06238175790401581;TO
